词语,程度级别
百分之百,9
备至,9
倍加,9
不得了,9
不过,7
不堪,9
不可开交,9
不少,7
不胜,7
不亦乐乎,9
不折不扣,9
超,7
超级,7
彻头彻尾,9
沉,7
沉沉,7
充分,9
出奇,7
大不了,5
大为,7
到头,9
地地道道,9
多,7
多多,7
多加,7
多么,7
非常,9
分外,7
格外,7
更,5
更加,5
更进一步,5
更为,5
够瞧的,7
怪,3
还,5
还要,5
好,7
好不,7
好生,3
何等,7
很,7
很是,7
坏,7
或多或少,3
极,9
极度,9
极端,9
极其,9
极为,9
佼佼,9
较,5
较比,5
较为,5
截然,9
尽,9
进一步,5
惊人地,9
绝,9
绝顶,9
绝对,9
绝对化,9
可,7
刻骨,9
酷,9
老,7
老大,7
良,7
略,3
略加,3
略略,3
略微,3
略为,3
蛮,3
满,9
满贯,9
满心,9
莫大,9
那般,5
那么,5
那样,5
偏,3
颇,7
颇为,7
奇,9
强,5
如斯,5
入骨,9
稍,3
稍稍,3
稍微,3
稍为,3
稍许,3
甚,7
甚为,9
十二分,9
十分,9
十足,9
实在,7
死,9
太,7
太甚,7
滔天,9
特,7
特别,7
挺,3
痛,9
透,9
完全,9
完完全全,9
万,9
万般,9
万分,9
万万,9
微,1
未免,3
无比,9
无度,9
无可估量,9
无以复加,9
无以伦比,9
相当,3
相对,1
些,3
些微,3
些小,3
要命,9
要死,9
一点,3
一点儿,3
一些,3
已极,9
已甚,9
异常,9
益,5
益发,5
尤,7
尤其,7
尤甚,5
尤为,7
尤以,7
有点,3
有点儿,3
有些,3
逾,5
逾常,9
愈,5
愈 ... 愈,5
愈发,5
愈加,5
愈来愈,5
愈益,5
远,7
远远,5
越 ... 越,5
越发,5
越加,5
越来越,5
越是,5
贼,9
这般,5
这样,5
着实,7
之极,9
之至,9
至极,9
卓绝,9
足,5
足足,5
最,9
最为,9
顶,9
忒,9
更其,7
越,7
过于,7
一点也,5
一点都,5
稍加,3
多少,3
几乎,3
点,1
微乎其微,1
些许,1
比较,1
半点,1
不大,1
